Periode,Suhu
1,26.63
2,27.68
3,27.94
4,28.58
5,29.08
6,28.01
7,27.61
8,27.32
9,27.76
10,27.62
11,27.32
12,26.28
13,25.62
14,26.15
15,26.7
16,27.37
17,27.96
18,27.69
19,27.32
20,27.27
21,27.31
22,27.23
23,27
24,26.3
25,26.23
26,26.73
27,27.19
28,28.02
29,27.97
30,27.73
31,27.14
32,27.33
33,27.15
34,27.87
35,27.69
36,26.89
37,26.36
38,26.33
39,27.79
40,28.31
41,28.38
42,27.99
43,27.42
44,27.21
45,27.25
46,27.4
47,27.52
48,26.54
49,25.5
50,26.33
51,27.68
52,28.79
53,28.85
54,28.3
55,27.8
56,27.37
57,27.52
58,28.13
59,27.73
60,26.88
61,25.93
62,26.24
63,27.47
64,28.23
65,28.39
66,28.01
67,27.65
68,27.45
69,27.49
70,27.9
71,28.19
72,27.46
73,27.53
74,27.11
75,27.95
76,28.93
77,29.17
78,28.01
79,27.82
80,27.68
81,27.74
82,27.49
83,27.58
84,26.97
85,26.81
86,26.65
87,27.24
88,27.95
89,28.17
90,27.94
91,27.36
92,27.37
93,27.73
94,27.98
95,27.45
96,26.98
97,26.09
98,26.28
99,27.41
100,28.06
101,28.6
102,27.69
103,27.3
104,27.38
105,27.4
106,27.93
107,27.6
108,27.37
109,27.01
110,27.38
111,28.13
112,28.97
113,28.68
114,28.16
115,27.76
116,27.82
117,27.98
118,28.33
119,27.9
120,26.73
121,27.06
122,27.31
123,28.13
124,28.69
125,28.85
126,27.91
127,27.42
128,27.47
129,27.22
130,27.44
131,27.33
132,26.8
133,25.94
134,26.26
135,27.17
136,28.05
137,28.45
138,27.8
139,27.37
140,27.2
141,27.48
142,27.76
143,27.66
144,26.94
