High,Volume
10.70,11340948
10.98,51878743
11.19,24976847
11.25,11476599
10.97,5794599
10.91,4189280
10.90,4247483
11.18,8870360
11.20,4061481
11.27,4262272
11.28,19565377
11.29,56757167
11.41,34217683
11.08,23003012
10.75,24737724
10.74,10941715
10.73,10805458
11.13,8075117
11.37,6940069
11.35,6204112
11.29,6169195
11.43,9446366
11.43,6374473
11.43,5208055
11.59,7607950
11.59,6036712
11.81,6494862
11.64,8113736
11.82,6151859
11.88,6428439
11.99,8362112
11.75,8139495
11.98,8155716
12.00,8114343
12.04,7709619
11.82,5171870
11.77,6924845
11.63,6680005
11.40,13349172
11.74,9058029
11.75,13472862
11.99,9146984
12.37,14960005
12.68,19956964
11.98,12203037
12.10,17131496
12.37,10553439
12.47,15514946
11.99,8048141
11.98,10953044
11.66,8889217
11.47,7791864
11.64,10864520
11.55,7039284
11.60,15595515
11.65,9412952
11.83,4852844
12.14,7940775
12.20,7738390
12.19,4335122
12.31,16686343
12.17,6530273
12.05,4696618
12.06,5251275
12.01,4753153
12.06,6647661
12.20,9687630
12.42,6195618
12.38,9457273
12.83,12854634
12.93,6115807
13.27,10011614
13.58,23609735
13.81,6350740
14.07,14694253
13.81,11462853
13.79,7636432
13.53,8472986
13.09,9003008
12.96,5602585
12.98,7245697
13.65,8875801
14.33,18852636
14.24,7604085
14.23,6036623
14.55,7605514
14.64,10512567
14.94,10325420
14.80,38542128
13.72,9106538
14.26,5495358
14.28,4897317
14.33,3726487
14.25,5529766
14.80,6439375
14.88,7055799
14.86,5227429
14.75,6414647
14.84,8542757
14.80,8562284
15.15,13550161
15.10,7774634
15.03,8011877
15.06,11107084
15.31,20877928
15.19,10109344
15.06,4547242
15.16,3833736
15.45,3969692
16.05,6943864
16.12,4691076
16.23,6874232
15.90,7598331
15.38,8951877
15.59,4942145
15.37,11771428
15.07,13878650
14.44,18935339
14.09,4097982
14.33,6852123
13.97,7489873
13.94,6703082
13.83,16367245
14.00,9030698
14.32,11165774
14.41,11508606
14.23,4629074
14.08,5831423
13.95,5058785
13.56,9056039
12.97,6130635
13.18,5060702
13.36,14033450
13.02,16449671
12.99,24389927
12.29,22608930
12.21,12446567
12.03,5722933
12.28,3849808
12.12,5733650
12.27,2459427
12.14,6646965
12.07,4654759
12.24,2919950
12.53,4121187
12.62,9072919
12.60,9922886
12.23,7358759
12.20,4629294
12.00,4323942
12.15,4276226
12.14,4506532
11.90,5015422
12.11,11926231
12.48,5263031
12.48,6930839
12.59,4524954
12.90,4784854
12.73,3999758
12.78,5634519
12.68,3522524
13.04,4773433
13.18,5121025
13.28,4110563
13.73,5472959
13.69,4298287
13.61,3376860
13.55,3721033
13.65,2852176
13.81,4697032
13.22,11072717
13.01,3803212
13.44,4960994
13.77,4975330
13.84,4309713
13.66,7808306
13.11,4422489
13.17,3273872
13.44,11615075
13.25,6020883
13.03,5583192
12.93,9196798
12.39,14716127
12.15,4629897
12.19,4279604
12.37,7811223
12.15,4370197
11.92,7004593
11.47,5753260
11.70,5206047
11.90,5625187
11.86,4946081
11.99,4074554
12.25,4660644
12.63,6618752
12.80,5219275
12.89,4748670
12.74,3655522
12.74,3522891
12.35,5712538
12.47,4330140
12.74,4147834
12.99,5201312
12.99,5589988
12.89,3729074
12.93,3391156
13.40,4438711
13.23,4579057
13.41,3956501
13.38,6668012
